[2022-11-28T09:17:16.305Z] INFO  5cb42b3bd454-18/BROKER: Moleculer v0.14.19 is starting...
[2022-11-28T09:17:16.307Z] INFO  5cb42b3bd454-18/BROKER: Namespace: <not defined>
[2022-11-28T09:17:16.308Z] INFO  5cb42b3bd454-18/BROKER: Node ID: 5cb42b3bd454-18
[2022-11-28T09:17:16.310Z] INFO  5cb42b3bd454-18/REGISTRY: Strategy: RoundRobinStrategy
[2022-11-28T09:17:16.311Z] INFO  5cb42b3bd454-18/REGISTRY: Discoverer: LocalDiscoverer
[2022-11-28T09:17:16.313Z] INFO  5cb42b3bd454-18/BROKER: Serializer: JSONSerializer
[2022-11-28T09:17:16.341Z] INFO  5cb42b3bd454-18/BROKER: Validator: FastestValidator
[2022-11-28T09:17:16.344Z] INFO  5cb42b3bd454-18/BROKER: Registered 15 middleware(s).
JWT keypair not found, generating...
[2022-11-28T09:17:19.250Z] INFO  5cb42b3bd454-18/API: API Gateway server created.
[2022-11-28T09:17:19.250Z] INFO  5cb42b3bd454-18/API: Register route to '/'
[2022-11-28T09:17:19.277Z] INFO  5cb42b3bd454-18/API: 
[2022-11-28T09:17:19.319Z] INFO  5cb42b3bd454-18/AUTH: Waiting for service(s) 'api, webid'...
[2022-11-28T09:17:19.320Z] INFO  5cb42b3bd454-18/BACKUP: Waiting for service(s) 'triplestore'...
[2022-11-28T09:17:19.320Z] INFO  5cb42b3bd454-18/ACTIVITYPUB.COLLECTION: Waiting for service(s) 'triplestore, ldp.resource'...
[2022-11-28T09:17:19.320Z] INFO  5cb42b3bd454-18/ACTIVITYPUB.REGISTRY: Waiting for service(s) 'triplestore, ldp'...
[2022-11-28T09:17:19.320Z] INFO  5cb42b3bd454-18/ACTIVITYPUB.ACTOR: Waiting for service(s) 'activitypub.collection, ldp, signature'...
[2022-11-28T09:17:19.320Z] INFO  5cb42b3bd454-18/ACTIVITYPUB.OBJECT: Waiting for service(s) 'ldp.resource'...
[2022-11-28T09:17:19.320Z] INFO  5cb42b3bd454-18/ACTIVITYPUB.ACTIVITY: Waiting for service(s) 'ldp.container, ldp'...
[2022-11-28T09:17:19.320Z] INFO  5cb42b3bd454-18/ACTIVITYPUB.FOLLOW: Waiting for service(s) 'activitypub.outbox, activitypub.collection'...
[2022-11-28T09:17:19.320Z] INFO  5cb42b3bd454-18/ACTIVITYPUB.INBOX: Waiting for service(s) 'activitypub.collection, triplestore, activitypub.registry'...
[2022-11-28T09:17:19.320Z] INFO  5cb42b3bd454-18/ACTIVITYPUB.LIKE: Waiting for service(s) 'activitypub.outbox, activitypub.collection'...
[2022-11-28T09:17:19.321Z] INFO  5cb42b3bd454-18/ACTIVITYPUB.REPLY: Waiting for service(s) 'activitypub.outbox, activitypub.collection'...
[2022-11-28T09:17:19.321Z] INFO  5cb42b3bd454-18/ACTIVITYPUB.RELAY: Waiting for service(s) 'triplestore, jsonld, webfinger, activitypub, activitypub.follow, auth.account, ldp.container, ldp.registry'...
[2022-11-28T09:17:19.321Z] INFO  5cb42b3bd454-18/ACTIVITYPUB.OUTBOX: Waiting for service(s) 'activitypub.object, activitypub.collection, activitypub.registry'...
[2022-11-28T09:17:19.321Z] INFO  5cb42b3bd454-18/ACTIVITYPUB.DISPATCH: Waiting for service(s) 'activitypub.collection'...
[2022-11-28T09:17:19.321Z] INFO  5cb42b3bd454-18/ACTIVITYPUB: Waiting for service(s) 'api'...
[2022-11-28T09:17:19.321Z] INFO  5cb42b3bd454-18/JSONLD: Waiting for service(s) 'api'...
[2022-11-28T09:17:19.321Z] INFO  5cb42b3bd454-18/LDP.CONTAINER: Waiting for service(s) 'triplestore, jsonld'...
[2022-11-28T09:17:19.321Z] INFO  5cb42b3bd454-18/LDP: Waiting for service(s) 'ldp.container, ldp.resource, ldp.registry'...
[2022-11-28T09:17:19.321Z] INFO  5cb42b3bd454-18/MIRROR: Waiting for service(s) 'triplestore, webfinger, activitypub, activitypub.relay, void, auth.account, ldp.container, ldp.registry'...
[2022-11-28T09:17:19.321Z] INFO  5cb42b3bd454-18/SPARQLENDPOINT: Waiting for service(s) 'triplestore, api'...
[2022-11-28T09:17:19.321Z] INFO  5cb42b3bd454-18/TRIPLESTORE: Waiting for service(s) 'jsonld'...
[2022-11-28T09:17:19.321Z] INFO  5cb42b3bd454-18/VOID: Waiting for service(s) 'ldp.registry, api, triplestore, jsonld'...
[2022-11-28T09:17:19.321Z] INFO  5cb42b3bd454-18/WEBACL.RESOURCE: Waiting for service(s) 'triplestore, jsonld'...
[2022-11-28T09:17:19.321Z] INFO  5cb42b3bd454-18/WEBACL: Waiting for service(s) 'api'...
[2022-11-28T09:17:19.321Z] INFO  5cb42b3bd454-18/WEBFINGER: Waiting for service(s) 'api, auth.account'...
[2022-11-28T09:17:19.322Z] INFO  5cb42b3bd454-18/FILE: Waiting for service(s) 'ldp'...
[2022-11-28T09:17:19.322Z] INFO  5cb42b3bd454-18/INFERENCE: Waiting for service(s) 'triplestore, ldp, jsonld'...
[2022-11-28T09:17:19.322Z] INFO  5cb42b3bd454-18/WEBID: Waiting for service(s) 'ldp.resource'...
[2022-11-28T09:17:19.322Z] INFO  5cb42b3bd454-18/AUTH.ACCOUNT: Waiting for service(s) 'triplestore'...
[2022-11-28T09:17:19.322Z] INFO  5cb42b3bd454-18/LDP.RESOURCE: Waiting for service(s) 'triplestore, jsonld'...
[2022-11-28T09:17:19.322Z] INFO  5cb42b3bd454-18/WEBACL.GROUP: Waiting for service(s) 'triplestore, webacl.resource, ldp.container'...
[2022-11-28T09:17:19.322Z] INFO  5cb42b3bd454-18/LDP.REGISTRY: Waiting for service(s) 'ldp.container, api'...
[2022-11-28T09:17:19.322Z] INFO  5cb42b3bd454-18/LDP.CACHE: Waiting for service(s) 'ldp.container'...
[2022-11-28T09:17:19.326Z] INFO  5cb42b3bd454-18/REGISTRY: '$node' service is registered.
[2022-11-28T09:17:19.327Z] INFO  5cb42b3bd454-18/REGISTRY: 'auth.jwt' service is registered.
[2022-11-28T09:17:19.327Z] INFO  5cb42b3bd454-18/REGISTRY: 'core' service is registered.
[2022-11-28T09:17:19.328Z] INFO  5cb42b3bd454-18/REGISTRY: 'webacl.cache' service is registered.
[2022-11-28T09:17:19.329Z] INFO  5cb42b3bd454-18/REGISTRY: 'signature' service is registered.
[2022-11-28T09:17:19.329Z] INFO  5cb42b3bd454-18/REGISTRY: 'triplestore.dataset' service is registered.
[2022-11-28T09:17:19.329Z] INFO  5cb42b3bd454-18/$NODE: Service '$node' started.
[2022-11-28T09:17:19.330Z] INFO  5cb42b3bd454-18/AUTH.JWT: Service 'auth.jwt' started.
[2022-11-28T09:17:19.330Z] INFO  5cb42b3bd454-18/CORE: Service 'core' started.
[2022-11-28T09:17:19.330Z] INFO  5cb42b3bd454-18/WEBACL.CACHE: Service 'webacl.cache' started.
[2022-11-28T09:17:19.330Z] INFO  5cb42b3bd454-18/SIGNATURE: Service 'signature' started.
[2022-11-28T09:17:19.330Z] INFO  5cb42b3bd454-18/TRIPLESTORE.DATASET: Service 'triplestore.dataset' started.
[2022-11-28T09:17:19.333Z] INFO  5cb42b3bd454-18/API: API Gateway listening on http://0.0.0.0:3000
[2022-11-28T09:17:19.335Z] INFO  5cb42b3bd454-18/REGISTRY: 'api' service is registered.
[2022-11-28T09:17:19.336Z] INFO  5cb42b3bd454-18/API: Service 'api' started.
[2022-11-28T09:17:19.345Z] INFO  5cb42b3bd454-18/CACHER: Redis cacher connected.
[2022-11-28T09:17:20.322Z] INFO  5cb42b3bd454-18/ACTIVITYPUB: Service(s) 'api' are available.
[2022-11-28T09:17:20.322Z] INFO  5cb42b3bd454-18/REGISTRY: 'activitypub' service is registered.
[2022-11-28T09:17:20.323Z] INFO  5cb42b3bd454-18/ACTIVITYPUB: Service 'activitypub' started.
[2022-11-28T09:17:20.323Z] INFO  5cb42b3bd454-18/JSONLD: Service(s) 'api' are available.
[2022-11-28T09:17:20.331Z] INFO  5cb42b3bd454-18/WEBACL: Service(s) 'api' are available.
[2022-11-28T09:17:20.331Z] INFO  5cb42b3bd454-18/BROKER: Waiting for service(s) 'triplestore, auth'...
[2022-11-28T09:17:20.338Z] INFO  5cb42b3bd454-18/API: Register route to 'context.json'
[2022-11-28T09:17:20.341Z] INFO  5cb42b3bd454-18/API:      GET /context.json => <Function>
[2022-11-28T09:17:20.341Z] INFO  5cb42b3bd454-18/API: 
[2022-11-28T09:17:20.345Z] INFO  5cb42b3bd454-18/REGISTRY: 'jsonld' service is registered.
[2022-11-28T09:17:20.346Z] INFO  5cb42b3bd454-18/JSONLD: Service 'jsonld' started.
[2022-11-28T09:17:21.330Z] INFO  5cb42b3bd454-18/TRIPLESTORE: Service(s) 'jsonld' are available.
[2022-11-28T09:17:21.374Z] INFO  5cb42b3bd454-18/TRIPLESTORE.DATASET: Dataset localData doesn't exist. Creating it...
[2022-11-28T09:17:21.392Z] INFO  5cb42b3bd454-18/TRIPLESTORE.DATASET: 
[2022-11-28T09:17:21.860Z] INFO  5cb42b3bd454-35/BROKER: Moleculer v0.14.19 is starting...
[2022-11-28T09:17:21.861Z] INFO  5cb42b3bd454-35/BROKER: Namespace: <not defined>
[2022-11-28T09:17:21.861Z] INFO  5cb42b3bd454-35/BROKER: Node ID: 5cb42b3bd454-35
[2022-11-28T09:17:21.862Z] INFO  5cb42b3bd454-35/REGISTRY: Strategy: RoundRobinStrategy
[2022-11-28T09:17:21.862Z] INFO  5cb42b3bd454-35/REGISTRY: Discoverer: LocalDiscoverer
[2022-11-28T09:17:21.863Z] INFO  5cb42b3bd454-35/BROKER: Serializer: JSONSerializer
[2022-11-28T09:17:21.869Z] INFO  5cb42b3bd454-35/BROKER: Validator: FastestValidator
[2022-11-28T09:17:21.871Z] INFO  5cb42b3bd454-35/BROKER: Registered 15 middleware(s).
[2022-11-28T09:17:22.780Z] INFO  5cb42b3bd454-35/API: API Gateway server created.
[2022-11-28T09:17:22.781Z] INFO  5cb42b3bd454-35/API: Register route to '/'
[2022-11-28T09:17:22.803Z] INFO  5cb42b3bd454-35/API: 
[2022-11-28T09:17:22.866Z] INFO  5cb42b3bd454-35/AUTH: Waiting for service(s) 'api, webid'...
[2022-11-28T09:17:22.866Z] INFO  5cb42b3bd454-35/BACKUP: Waiting for service(s) 'triplestore'...
[2022-11-28T09:17:22.866Z] INFO  5cb42b3bd454-35/ACTIVITYPUB.COLLECTION: Waiting for service(s) 'triplestore, ldp.resource'...
